鬘,かつら,toupee; wig,<ruby>彼<rt>かれ</rt></ruby>はかつらをつけているらしい。,He seems to be wearing a wig.,
引っ切り無しに,ひっきりなしに,incessantly,<ruby>昨日<rt>きのう</rt></ruby>から <ruby>引<rt>ひ</rt></ruby>っ <ruby>切<rt>き</rt></ruby>り <ruby>無<rt>な</rt></ruby>しに <ruby>雨<rt>あめ</rt></ruby>が <ruby>降<rt>ふ</rt></ruby>っている。,It has been raining without let up since yesterday.,
お代わり,おかわり,second helping,ご <ruby>飯<rt>はん</rt></ruby>のお <ruby>代<rt>か</rt></ruby>わりをください。,Please give me another helping of rice.,
指図,さしず,directions,あれこれ <ruby>指図<rt>さしず</rt></ruby>するのはやめてください。,Please don't give so many different instructions.,
指切り,ゆびきり,pledging by hooking each other's pinkies,<ruby>友達<rt>ともだち</rt></ruby>と <ruby>指切<rt>ゆびき</rt></ruby>りした。,I made a pact with my friend.,
定規,じょうぎ,rule; ruler,<ruby>線<rt>せん</rt></ruby>を <ruby>引<rt>ひ</rt></ruby>くなら <ruby>定規<rt>じょうぎ</rt></ruby>を <ruby>使<rt>つか</rt></ruby>って <ruby>引<rt>ひ</rt></ruby>きなさい。,Use a ruler when you draw a line.,
定まる,さだまる,be decided; be settled,<ruby>次<rt>つぎ</rt></ruby>の <ruby>会議<rt>かいぎ</rt></ruby>の <ruby>日程<rt>にってい</rt></ruby>が <ruby>定<rt>さだ</rt></ruby>まった。,The schedule of the following meeting has been decided.,
うねり,うねり,the swell; undulation,<ruby>海上<rt>かいじょう</rt></ruby>はうねりが <ruby>高<rt>たか</rt></ruby>い。,The sea swell is high.,
予知,よち,foreknowledge,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>未来<rt>みらい</rt></ruby>を <ruby>予知<rt>よち</rt></ruby>できるそうです。,Apparently she can predict the future.,
束の間,つかのま,moment,プロジェクトが <ruby>終<rt>お</rt></ruby>わった <ruby>喜<rt>よろこ</rt></ruby>びもつかの <ruby>間<rt>ま</rt></ruby>また <ruby>新<rt>あら</rt></ruby>たな <ruby>仕事<rt>しごと</rt></ruby>を <ruby>任<rt>まか</rt></ruby>された。,The joy at finishing the project was short-lived as I was given a new task to do.,
束ねる,たばねる,tie up in a bundle,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>髪<rt>かみ</rt></ruby>を <ruby>束<rt>たば</rt></ruby>ねた。,She tied her hair back.,
不変,ふへん,eternal; unchanging,<ruby>宇宙<rt>うちゅう</rt></ruby>には <ruby>不変<rt>ふへん</rt></ruby>の <ruby>法則<rt>ほうそく</rt></ruby>がある。,There are immutable laws in space.,
急変,きゅうへん,sudden change,<ruby>天気<rt>てんき</rt></ruby>が <ruby>急変<rt>きゅうへん</rt></ruby>した。,The weather changed suddenly.,
お化け,おばけ,ghost,その <ruby>子<rt>こ</rt></ruby>はお <ruby>化<rt>ば</rt></ruby>けを <ruby>見<rt>み</rt></ruby>たと <ruby>言<rt>い</rt></ruby>っている。,The child says she saw a ghost.,
化け物,ばけもの,ghost; monster,<ruby>深海<rt>しんかい</rt></ruby>には <ruby>化け<ruby>物<rt>ばけもの</rt></ruby>のような <ruby>魚<rt>さかな</rt></ruby>がいます。,There are fish that look like monsters deep in the ocean.,
帰化,きか,naturalization,<ruby>彼<rt>かれ</rt></ruby>は <ruby>日本<rt>にほん</rt></ruby>に 10 <ruby>年<rt>ねん</rt></ruby> <ruby>住<rt>す</rt></ruby>んだ <ruby>後<rt>あと</rt></ruby> <ruby>帰化<rt>きか</rt></ruby>することにした。,He decided to become a naturalized citizen after living in Japan for 10 years.,
化合,かごう,chemical compound,<ruby>酸素<rt>さんそ</rt></ruby>と <ruby>水素<rt>すいそ</rt></ruby>が <ruby>化合<rt>かごう</rt></ruby>すると <ruby>水<rt>みず</rt></ruby>になる。,When oxygen combines with hydrogen; it becomes water.,
ぐるり,ぐるり,all the way round,その <ruby>家<rt>いえ</rt></ruby>は <ruby>高<rt>たか</rt></ruby>い <ruby>塀<rt>へい</rt></ruby>でぐるりと <ruby>囲<rt>かこ</rt></ruby>まれていた。,The house was surrounded by high walls.,
化ける,ばける,change oneself into; disguise oneself,<ruby>女<rt>おんな</rt></ruby>の <ruby>人<rt>ひと</rt></ruby>はお <ruby>化粧<rt>けしょう</rt></ruby>をすると <ruby>化<rt>ば</rt></ruby>ける。,Women look different in makeup.,
満更,まんざら,altogether; wholly,<ruby>彼<rt>かれ</rt></ruby>はテストの <ruby>結果<rt>けっか</rt></ruby>にまんざらでもないようだ。,It seems that his test results were not altogether disappointing.,
夜更け,よふけ,late at night,<ruby>彼<rt>かれ</rt></ruby>は <ruby>夜更<rt>よふ</rt></ruby>けに <ruby>一人<rt>ひとり</rt></ruby>で <ruby>散歩<rt>さんぽ</rt></ruby>に <ruby>出<rt>で</rt></ruby>た。,He went out alone for a midnight stroll.,
更ける,ふける,advance; grow late,<ruby>夜<rt>よる</rt></ruby>が <ruby>更<rt>ふ</rt></ruby>けてあたりが <ruby>静<rt>しず</rt></ruby>かになった。,As the night advanced the surroundings became quiet.,
水増し,みずまし,dilution; watering,あの <ruby>会社<rt>かいしゃ</rt></ruby>は <ruby>水増<rt>みずま</rt></ruby>し <ruby>請求<rt>せいきゅう</rt></ruby>をしている。,That company is padding their bills.,
日増しに,ひましに,day by day,<ruby>彼<rt>かれ</rt></ruby>の <ruby>容態<rt>ようだい</rt></ruby>は <ruby>日増<rt>ひま</rt></ruby>しに <ruby>良<rt>よ</rt></ruby>くなっている。,His condition is improving day by day.,
減点,げんてん,loss of marks,テストで <ruby>字<rt>じ</rt></ruby>を <ruby>間違<rt>まちが</rt></ruby>えて <ruby>減点<rt>げんてん</rt></ruby>された。,I lost some points in the test because I got a character wrong.,
乗り気,のりき,keenness to do,<ruby>彼女<rt>かのじょ</rt></ruby>はパーティーに <ruby>行<rt>い</rt></ruby>くことに <ruby>乗り<ruby>気<rt>のりき</rt></ruby>ではなかった。,She was not in the mood for going to the party.,
乗っ取る,のっとる,hijack; take possession of,ソファが <ruby>猫<rt>ねこ</rt></ruby>たちに <ruby>乗っ<ruby>取<rt>のっと</rt></ruby>られています。,The sofa is being taken over by cats.,
きっぱり,きっぱり,decisively; definitely,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>彼<rt>かれ</rt></ruby>の <ruby>誘<rt>さそ</rt></ruby>いをきっぱり <ruby>断<rt>ことわ</rt></ruby>った。,She curtly refused his invitation.,
乗り回す,のりまわす,drive about,<ruby>息子<rt>むすこ</rt></ruby>はオートバイを <ruby>乗り<ruby>回<rt>のりまわ</rt></ruby>しています。,My son is driving a motorcycle around.,
乗じる,じょうじる,take advantage of,<ruby>新<rt>あたら</rt></ruby>しい <ruby>税金<rt>ぜいきん</rt></ruby>の <ruby>導入<rt>どうにゅう</rt></ruby>に <ruby>乗<rt>じょう</rt></ruby>じて <ruby>様々<rt>さまざま</rt></ruby>なものが <ruby>値上<rt>ねあ</rt></ruby>がりした。,Taking advantage of the introduction of the new tax; the prices of many products have gone up.,
乗ずる,じょうずる,taking advantage of,<ruby>石油<rt>せきゆ</rt></ruby> <ruby>不足<rt>ぶそく</rt></ruby>に <ruby>乗<rt>じょう</rt></ruby>ずる <ruby>値上<rt>ねあ</rt></ruby>げが <ruby>起<rt>お</rt></ruby>こっている。,Following the oil shortage; prices are rising.,
着々,ちゃくちゃく,steadily,<ruby>彼<rt>かれ</rt></ruby>は <ruby>計画<rt>けいかく</rt></ruby>を <ruby>着々<rt>ちゃくちゃく</rt></ruby>と <ruby>進<rt>すす</rt></ruby>めています。,He is proceeding steadily with the plan.,
必着,ひっちゃく,to be delivered,3 <ruby>月<rt>がつ</rt></ruby> 5<ruby>日<rt>いつか</rt></ruby> <ruby>必着<rt>ひっちゃく</rt></ruby>で <ruby>履歴<rt>りれき</rt></ruby> <ruby>書<rt>しょ</rt></ruby>を <ruby>送<rt>おく</rt></ruby>ってください。,Please send your resume to arrive not later than March 5th.,
不時着,ふじちゃく,emergency landing,ヘリが <ruby>山中<rt>さんちゅう</rt></ruby>に <ruby>不時着<rt>ふじちゃく</rt></ruby>した。,The airplane made an emergency landing in the mountains.,
脱走,だっそう,desertion; escape,<ruby>昨日<rt>きのう</rt></ruby> <ruby>囚人<rt>しゅうじん</rt></ruby>が <ruby>一人<rt>ひとり</rt></ruby> <ruby>脱走<rt>だっそう</rt></ruby>しました。,One prisoner escaped yesterday.,
増税,ぞうぜい,tax increase,<ruby>増税<rt>ぞうぜい</rt></ruby>には <ruby>反対<rt>はんたい</rt></ruby>です。,I am against tax increases.,
脱税,だつぜい,tax evasion,あの <ruby>会社<rt>かいしゃ</rt></ruby>は <ruby>脱税<rt>だつぜい</rt></ruby>していた。,That company was evading tax.,
とろとろ,とろとろ,gently; simmering,<ruby>肉<rt>にく</rt></ruby>をとろとろと <ruby>煮込<rt>にこ</rt></ruby>んだその <ruby>料理<rt>りょうり</rt></ruby>はとても <ruby>美味<rt>おい</rt></ruby>しい。,If you simmer the meat slowly; that dish is absolutely delicious.,
立ち話,たちばなし,stand talking,<ruby>母<rt>はは</rt></ruby>が <ruby>店<rt>みせ</rt></ruby>の <ruby>前<rt>まえ</rt></ruby>で <ruby>立ち<ruby>話<rt>たちばなし</rt></ruby>をしている。,My mother is standing in front of the shop talking.,
仕立てる,したてる,prepare; tailor,<ruby>新<rt>あたら</rt></ruby>しいスーツを <ruby>仕立<rt>した</rt></ruby>ててもらった。,I had a new suit tailored.,
出欠,しゅっけつ,attendance,パーティーの <ruby>出欠<rt>しゅっけつ</rt></ruby>の <ruby>返事<rt>へんじ</rt></ruby>をしなければ。,I must answer the RSVP for the party.,
欠けら,かけら,chip; fragment,ガラスの <ruby>欠<rt>か</rt></ruby>けらで <ruby>手<rt>て</rt></ruby>を <ruby>切<rt>き</rt></ruby>ってしまった。,I cut my hand on a shard of glass.,
運良く,うんよく,fortunately; luckily,<ruby>運<rt>うん</rt></ruby> <ruby>良<rt>よ</rt></ruby>く <ruby>希望<rt>きぼう</rt></ruby>の <ruby>会社<rt>かいしゃ</rt></ruby>に <ruby>就職<rt>しゅうしょく</rt></ruby>できました。,Fortunately; I got a job in the company that I wanted to work for.,
運休,うんきゅう,suspension of service,<ruby>新幹線<rt>しんかんせん</rt></ruby>は <ruby>強風<rt>きょうふう</rt></ruby>のために <ruby>運休<rt>うんきゅう</rt></ruby>しています。,The bullet train service has been suspended due to the strong wind.,
好転,こうてん,a turn for the better,<ruby>事態<rt>じたい</rt></ruby>は <ruby>一気<rt>いっき</rt></ruby>に <ruby>好転<rt>こうてん</rt></ruby>した。,The situation took a turn for the better at once.,
動じる,どうじる,be moved with emotion,<ruby>彼<rt>かれ</rt></ruby>は <ruby>何<rt>なに</rt></ruby>を <ruby>言<rt>い</rt></ruby>われても <ruby>動<rt>どう</rt></ruby>じません。,He is unmoved no matter what you say to him.,
動もすれば,ややもすれば,be inclined to,あの <ruby>人<rt>ひと</rt></ruby>はややもすれば <ruby>悲観<rt>ひかん</rt></ruby> <ruby>的<rt>てき</rt></ruby>になりがちだ。,That person is inclined to be on the pessimistic side.,
シャンソン,しゃんそん,chanson; French music,<ruby>彼<rt>かれ</rt></ruby>は フランス<ruby>語<rt>ふらんすご</rt></ruby>でシャンソンを <ruby>歌<rt>うた</rt></ruby>った。,He sang the chanson in French.,
早々と,はやばやと,early; quickly,<ruby>友人<rt>ゆうじん</rt></ruby>たちが <ruby>早々<rt>はやばや</rt></ruby>とやってきた。,My friends came early.,
早引き,はやびき,early leaving,<ruby>具合<rt>ぐあい</rt></ruby>が <ruby>悪<rt>わる</rt></ruby>かったので <ruby>早<rt>はや</rt></ruby> <ruby>引<rt>ひ</rt></ruby>きしました。,I felt unwell so I left early.,
手遅れ,ておくれ,being too late,<ruby>手遅<rt>ておく</rt></ruby>れになる <ruby>前<rt>まえ</rt></ruby>に <ruby>病院<rt>びょういん</rt></ruby>に <ruby>行<rt>い</rt></ruby>きましょう。,Let's go to the hospital before it is too late.,
後始末,あとしまつ,cleaning up; settlement,<ruby>仕事<rt>しごと</rt></ruby>の <ruby>後始末<rt>あとしまつ</rt></ruby>に <ruby>時間<rt>じかん</rt></ruby>がかかりました。,It took time to finish up the job.,
不始末,ふしまつ,mismanagement,<ruby>火<rt>ひ</rt></ruby>の <ruby>不<rt>ふ</rt></ruby> <ruby>始末<rt>しまつ</rt></ruby>には <ruby>気<rt>き</rt></ruby>をつけましょう。,Let's not be negligent when it comes to fire.,
終止符,しゅうしふ,period,<ruby>長<rt>なが</rt></ruby>い <ruby>戦争<rt>せんそう</rt></ruby>に <ruby>終止符<rt>しゅうしふ</rt></ruby>が <ruby>打<rt>う</rt></ruby>たれた。,A long war was brought to an end.,
終着駅,しゅうちゃくえき,terminal station,<ruby>私<rt>わたし</rt></ruby>たちは <ruby>終着駅<rt>しゅうちゃくえき</rt></ruby>で <ruby>降<rt>お</rt></ruby>りた。,We got off at the terminal station.,
切実,せつじつ,acute; urgent,<ruby>米<rt>こめ</rt></ruby>の <ruby>値上<rt>ねあ</rt></ruby>がりは <ruby>切実<rt>せつじつ</rt></ruby>な <ruby>問題<rt>もんだい</rt></ruby>です。,The increasing cost of rice is a pressing problem.,
口実,こうじつ,excuse; pretext,<ruby>風邪<rt>かぜ</rt></ruby>を <ruby>口実<rt>こうじつ</rt></ruby>に <ruby>仕事<rt>しごと</rt></ruby>を <ruby>休<rt>やす</rt></ruby>んだ。,I used my cold as an excuse for a day off work.,
みっともない,みっともない,disgraceful; shameful; unseemly,そこに <ruby>座り<ruby>込<rt>すわりこ</rt></ruby>んだらみっともないですよ。,It is unbecoming when you sit down there.,
無実,むじつ,innocent,<ruby>被告<rt>ひこく</rt></ruby>は <ruby>無実<rt>むじつ</rt></ruby>を <ruby>訴<rt>うった</rt></ruby>えた。,The defendant protested his innocence.,
過半数,かはんすう,majority,その <ruby>法案<rt>ほうあん</rt></ruby>は <ruby>賛成<rt>さんせい</rt></ruby> <ruby>過半数<rt>かはんすう</rt></ruby>で <ruby>可決<rt>かけつ</rt></ruby>された。,The bill was passed by a majority in favor.,
行き過ぎ,いきすぎ,going too far,マスコミの <ruby>報道<rt>ほうどう</rt></ruby>が <ruby>行き<ruby>過<rt>いきす</rt></ruby>ぎている。,The media reports have gone too far.,
見過ごす,みすごす,let go by; overlook,<ruby>彼<rt>かれ</rt></ruby>の <ruby>悪事<rt>あくじ</rt></ruby>を <ruby>見過<rt>みす</rt></ruby>ごすわけにはいきません。,His wrong-doing must not be overlooked.,
やり過ごす,やりすごす,let go past,<ruby>扇風機<rt>せんぷうき</rt></ruby>だけで <ruby>猛暑<rt>もうしょ</rt></ruby>をやり <ruby>過<rt>す</rt></ruby>ごした。,We got through the intense heat with only a fan.,
立ち去る,たちさる,leave; quit,<ruby>彼<rt>かれ</rt></ruby>は <ruby>無言<rt>むごん</rt></ruby>で <ruby>立ち<ruby>去<rt>たちさ</rt></ruby>った。,He left silently.,
発火,はっか,combustion; ignition,<ruby>機械<rt>きかい</rt></ruby>が <ruby>突然<rt>とつぜん</rt></ruby> <ruby>発火<rt>はっか</rt></ruby>した。,The machine suddenly ignited.,
表通り,おもてどおり,main street,そのビルは <ruby>表通<rt>おもてどお</rt></ruby>りに <ruby>面<rt>めん</rt></ruby>している。,The building faces the main street.,
銀紙,ぎんがみ,aluminum foil,チョコレートの <ruby>銀紙<rt>ぎんがみ</rt></ruby>をはがした。,I peeled the silver paper off the chocolate.,
がんがん,がんがん,throbbing and aching,<ruby>二日酔<rt>ふつかよ</rt></ruby>いで <ruby>頭<rt>あたま</rt></ruby>ががんがんする。,My head is throbbing because of a hangover.,
ちり紙,ちりがみ,tissue paper,ちり <ruby>紙<rt>がみ</rt></ruby>を <ruby>取<rt>と</rt></ruby>ってください。,Please take the tissue paper.,
音読,おんどく,read aloud,<ruby>良<rt>よ</rt></ruby>い <ruby>文章<rt>ぶんしょう</rt></ruby>は <ruby>音読<rt>おんどく</rt></ruby>するといいよ。,It is good practice to read aloud good sentences.,
弱音,よわね,complaints,<ruby>彼<rt>かれ</rt></ruby>が <ruby>弱音<rt>よわね</rt></ruby>を <ruby>吐<rt>は</rt></ruby>くのは <ruby>聞<rt>き</rt></ruby>いたことがない。,I've never heard him whine.,
火薬,かやく,gunpowder,<ruby>火薬<rt>かやく</rt></ruby>が <ruby>爆発<rt>ばくはつ</rt></ruby>して <ruby>負傷<rt>ふしょう</rt></ruby> <ruby>者<rt>しゃ</rt></ruby>が <ruby>出<rt>で</rt></ruby>た。,Gunpowder exploded and some people were injured.,
欲する,ほっする,desire; want; wish,<ruby>彼<rt>かれ</rt></ruby>は <ruby>名声<rt>めいせい</rt></ruby>を <ruby>欲<rt>ほっ</rt></ruby>しています。,He wants fame.,
無欲,むよく,unselfish,<ruby>彼<rt>かれ</rt></ruby>は <ruby>本当<rt>ほんとう</rt></ruby>に <ruby>無欲<rt>むよく</rt></ruby>です。,He is really unselfish.,
映える,はえる,shine,<ruby>黒<rt>くろ</rt></ruby>のドレスに <ruby>赤<rt>あか</rt></ruby>いスカーフが <ruby>映<rt>は</rt></ruby>えますね。,A red scarf looks especially attractive with a black dress.,
画数,かくすう,stroke-count,<ruby>画数<rt>かくすう</rt></ruby>の <ruby>多<rt>おお</rt></ruby>い <ruby>漢字<rt>かんじ</rt></ruby>を <ruby>覚<rt>おぼ</rt></ruby>えるのは <ruby>苦労<rt>くろう</rt></ruby>する。,It is hard to remember Kanji that have a lot of strokes.,
ピリオド,ぴりおど,final end; period,<ruby>彼<rt>かれ</rt></ruby>との <ruby>関係<rt>かんけい</rt></ruby>にピリオドを <ruby>打<rt>う</rt></ruby>った。,I closed the book on my relationship with him.,
画用紙,がようし,drawing paper,<ruby>画用紙<rt>がようし</rt></ruby>に <ruby>絵<rt>え</rt></ruby>を <ruby>描<rt>か</rt></ruby>いた。,I drew a picture on the drawing paper.,
画する,かくする,mark off; plan,<ruby>他社<rt>たしゃ</rt></ruby>と <ruby>一線<rt>いっせん</rt></ruby>を <ruby>画<rt>かく</rt></ruby>する <ruby>商品<rt>しょうひん</rt></ruby>を <ruby>開発<rt>かいはつ</rt></ruby>した。,They developed a product that made them stand out from the competition.,
面会,めんかい,interview; meeting,<ruby>面会<rt>めんかい</rt></ruby> <ruby>時間<rt>じかん</rt></ruby>は <ruby>午後<rt>ごご</rt></ruby> 8 <ruby>時<rt>じ</rt></ruby>までです。,Visiting hours are until 8pm.,
赤面,せきめん,blush; red-faced,<ruby>彼<rt>かれ</rt></ruby>は <ruby>皆<rt>みな</rt></ruby>に <ruby>笑<rt>わら</rt></ruby>われ <ruby>赤面<rt>せきめん</rt></ruby>した。,Everyone laughed at him and he blushed.,
満面,まんめん,whole face,<ruby>彼<rt>かれ</rt></ruby>は <ruby>満面<rt>まんめん</rt></ruby>の <ruby>笑顔<rt>えがお</rt></ruby>だ。,He is smiling all over his face.,
他面,ためん,other side,<ruby>彼<rt>かれ</rt></ruby>は <ruby>穏<rt>おだ</rt></ruby>やかだが <ruby>他面<rt>ためん</rt></ruby> <ruby>厳<rt>きび</rt></ruby>しいところもある。,He is easy-going but one the other hand he also has a strict side.,
写生,しゃせい,sketching,<ruby>彼<rt>かれ</rt></ruby>はよく <ruby>写生<rt>しゃせい</rt></ruby>に <ruby>出<rt>で</rt></ruby>かけます。,He often goes out to sketch.,
真価,しんか,true value,その <ruby>会社<rt>かいしゃ</rt></ruby>の <ruby>製品<rt>せいひん</rt></ruby>の <ruby>真価<rt>しんか</rt></ruby>は <ruby>長期間<rt>ちょうきかん</rt></ruby> <ruby>使<rt>つか</rt></ruby>うと <ruby>良<rt>よ</rt></ruby>く <ruby>分<rt>わ</rt></ruby>かる。,You can understand the true value of that company's products after using them for a long time.,
形見,かたみ,keepsake; memento,この <ruby>指輪<rt>ゆびわ</rt></ruby>は <ruby>母<rt>はは</rt></ruby>の <ruby>形見<rt>かたみ</rt></ruby>です。,This ring is a keepsake from my mother.,
こつこつ,こつこつ,steadily,こつこつ <ruby>練習<rt>れんしゅう</rt></ruby>すれば <ruby>必<rt>かなら</rt></ruby>ず <ruby>上達<rt>じょうたつ</rt></ruby>しますよ。,If you study bit by bit you will surely make progress.,
形作る,かたちづくる,form; make; shape,<ruby>無数<rt>むすう</rt></ruby>の <ruby>細胞<rt>さいぼう</rt></ruby>が <ruby>人<rt>ひと</rt></ruby>の <ruby>体<rt>からだ</rt></ruby>を <ruby>形作<rt>かたちづく</rt></ruby>っている。,Innumerable cells form a person's body.,
直に,じきに,at once; soon,<ruby>今<rt>いま</rt></ruby>は <ruby>好<rt>す</rt></ruby>きでもじきにあきるよ。,Even if you like it now; you'll tire of it soon.,
直に,じかに,directly; personally,<ruby>本人<rt>ほんにん</rt></ruby>にじかに <ruby>聞<rt>き</rt></ruby>いてください。,Please ask the person concerned directly.,
立て直す,たてなおす,rally; reorganize,その <ruby>企業<rt>きぎょう</rt></ruby>は <ruby>経営<rt>けいえい</rt></ruby>を <ruby>立て<ruby>直<rt>たてなお</rt></ruby>す <ruby>必要<rt>ひつよう</rt></ruby>がある。,The company needs a management reshuffle.,
持ち直す,もちなおす,improve; rally,<ruby>株式<rt>かぶしき</rt></ruby> <ruby>市場<rt>しじょう</rt></ruby>はなんとか <ruby>持ち<ruby>直<rt>もちなお</rt></ruby>した。,The stock market managed to recover.,
思い直す,おもいなおす,reconsider,<ruby>思い<ruby>直<rt>おもいなお</rt></ruby>して <ruby>良<rt>よ</rt></ruby>かった。,I am glad I changed my mind.,
共々,ともども,in common; together,これからも <ruby>夫婦<rt>ふうふ</rt></ruby> <ruby>共々<rt>ともども</rt></ruby>がんばります。,We will work hard together as a couple in the future.,
共働き,ともばたらき,dual income,<ruby>息子<rt>むすこ</rt></ruby>のクラスには <ruby>両親<rt>りょうしん</rt></ruby>が <ruby>共働<rt>ともばたら</rt></ruby>きの <ruby>家庭<rt>かてい</rt></ruby>が <ruby>多<rt>おお</rt></ruby>い。,In my son's class; there are a lot of households where both parents work.,
お供,おとも,accompaniment,<ruby>母<rt>はは</rt></ruby>のお <ruby>共<rt>とも</rt></ruby>をして <ruby>親類<rt>しんるい</rt></ruby>を <ruby>訪<rt>たず</rt></ruby>ねました。,I went with my mother to visit some relatives.,
どっしり,どっしり,dignified; massive,<ruby>彼<rt>かれ</rt></ruby>はいつでもどっしりと <ruby>構<rt>かま</rt></ruby>えている。,He is heavy set.,
同音,どうおん,homophonous,<ruby>正確<rt>せいかく</rt></ruby>と <ruby>性格<rt>せいかく</rt></ruby>は <ruby>同音<rt>どうおん</rt></ruby>だが <ruby>別<rt>べつ</rt></ruby>の <ruby>言葉<rt>ことば</rt></ruby>だ。,&quot;Seikaku&quot; meaning &quot;correct&quot; and &quot;seikaku&quot; meaning &quot;personality&quot; are homophones.,
場違い,ばちがい,out of place; wrong place,<ruby>彼<rt>かれ</rt></ruby>は <ruby>場違<rt>ばちが</rt></ruby>いな <ruby>服装<rt>ふくそう</rt></ruby>で <ruby>現<rt>あらわ</rt></ruby>れた。,He showed up wearing inappropriate clothes.,
食い違い,くいちがい,cross-purposes; difference,<ruby>彼<rt>かれ</rt></ruby>との <ruby>間<rt>あいだ</rt></ruby>で <ruby>意見<rt>いけん</rt></ruby>の <ruby>食い<ruby>違<rt>くいちが</rt></ruby>いが <ruby>生<rt>しょう</rt></ruby>じた。,There was a difference of opinion between them.,
行き違い,いきちがい,crossing; misunderstanding,<ruby>数<rt>すう</rt></ruby> <ruby>分<rt>ふん</rt></ruby>の <ruby>差<rt>さ</rt></ruby>で <ruby>彼女<rt>かのじょ</rt></ruby>と <ruby>行<rt>い</rt></ruby>き <ruby>違<rt>ちが</rt></ruby>いになった。,I missed her by a few minutes.,
気違い,きちがい,insanity; lunatic,<ruby>彼<rt>かれ</rt></ruby>は <ruby>気違<rt>きちが</rt></ruby>いみたいに <ruby>叫<rt>さけ</rt></ruby>んでいた。,He was shouting madly.,
食い違う,くいちがう,clash; differ,<ruby>二人<rt>ふたり</rt></ruby>の <ruby>話<rt>はなし</rt></ruby>は <ruby>食い<ruby>違<rt>くいちが</rt></ruby>っている。,There is some discrepancy in what the two of them are saying.,
似通う,にかよう,resemble closely,この <ruby>二<rt>ふた</rt></ruby>つの <ruby>作品<rt>さくひん</rt></ruby>には <ruby>似通<rt>にかよ</rt></ruby>ったところがあります。,The two products resemble each other a lot.,
旅立つ,たびだつ,set off,<ruby>彼<rt>かれ</rt></ruby>は <ruby>昨日<rt>きのう</rt></ruby>インドに <ruby>旅立<rt>たびだ</rt></ruby>ちました。,He set off to India yesterday.,
旅券,りょけん,passport,<ruby>入国<rt>にゅうこく</rt></ruby> <ruby>審査<rt>しんさ</rt></ruby>では <ruby>旅券<rt>りょけん</rt></ruby>を <ruby>提示<rt>ていじ</rt></ruby>してください。,Please present your passport at immigration.,
やくざ,やくざ,gangster; yakuza,<ruby>彼<rt>かれ</rt></ruby>はやくざな <ruby>仕事<rt>しごと</rt></ruby>をしている。,He works for a criminal gang.,
宿屋,やどや,hotel; inn,<ruby>彼<rt>かれ</rt></ruby>は <ruby>宿屋<rt>やどや</rt></ruby>を <ruby>営<rt>いとな</rt></ruby>んでいます。,He manages an inn.,
雨宿り,あまやどり,shelter from the rain,<ruby>夕立<rt>ゆうだち</rt></ruby>にあって <ruby>本屋<rt>ほんや</rt></ruby>で <ruby>雨宿<rt>あまやど</rt></ruby>りした。,I took shelter in the bookstore during the rain shower.,
和歌,わか,Japanese poem,<ruby>和歌<rt>わか</rt></ruby>には <ruby>特定<rt>とくてい</rt></ruby>のリズムがある。,There is a specific rhythm in Japanese poetry.,
和む,なごむ,be softened; become calm,<ruby>彼<rt>かれ</rt></ruby>がいるだけで <ruby>場<rt>ば</rt></ruby>が <ruby>和<rt>なご</rt></ruby>みます。,Just by his being here the place calms down.,
母国語,ぼこくご,one's native language,<ruby>彼<rt>かれ</rt></ruby>の <ruby>母国<rt>ぼこく</rt></ruby> <ruby>語<rt>ご</rt></ruby>は <ruby>英語<rt>えいご</rt></ruby>です。,His mother tongue is English.,
分母,ぶんぼ,denominator,2/ 3の <ruby>分母<rt>ぶんぼ</rt></ruby>は 3です。,The denominator of 2/3 is three.,
親日,しんにち,pro-Japan,<ruby>彼<rt>かれ</rt></ruby>は <ruby>親日<rt>しんにち</rt></ruby> <ruby>家<rt>か</rt></ruby>だ。,He is a Japanophile.,
肉親,にくしん,blood relation,<ruby>彼女<rt>かのじょ</rt></ruby>にとって <ruby>祖母<rt>そぼ</rt></ruby>が <ruby>唯一<rt>ゆいいつ</rt></ruby>の <ruby>肉親<rt>にくしん</rt></ruby>だ。,Her grandmother is her only blood relative.,
歳月,さいげつ,time,<ruby>歳月<rt>さいげつ</rt></ruby>が <ruby>過<rt>す</rt></ruby>ぎるのが <ruby>昔<rt>むかし</rt></ruby>より <ruby>速<rt>はや</rt></ruby>く <ruby>感<rt>かん</rt></ruby>じられます。,The passage of the years feels faster than before.,
とかく,とかく,often,<ruby>急<rt>いそ</rt></ruby>ぐととかく <ruby>失敗<rt>しっぱい</rt></ruby>しがちだ。,If you hurry it's easy to make mistakes.,
弟子入り,でしいり,acolyte; follower,<ruby>彼<rt>かれ</rt></ruby>は <ruby>落語<rt>らくご</rt></ruby> <ruby>家<rt>か</rt></ruby>に <ruby>弟子<rt>でし</rt></ruby> <ruby>入<rt>い</rt></ruby>りした。,He became an apprentice of the comic storyteller.,
息切れ,いきぎれ,breathlessness,<ruby>階段<rt>かいだん</rt></ruby>を <ruby>急<rt>いそ</rt></ruby>いで <ruby>上<rt>のぼ</rt></ruby>ったので <ruby>息切<rt>いきぎ</rt></ruby>れしています。,I got short of breath hurrying up the stairs.,
